시도명,시군구명,호선명,역명,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소
서울특별시,송파구,8호선,가락시장,27.1,12.5,712,12.3,0.5
서울특별시,송파구,8호선,문정,38.6,24,559,14.2,0.5
서울특별시,송파구,8호선,장지,29.8,18,502,22.7,0.4
서울특별시,송파구,8호선,복정,24.4,11.7,541,16.3,0.5
경기도,성남시,8호선,산성,28.5,18.5,674,6.1,0.4
경기도,성남시,8호선,남한산성입구,24.7,15,693,3.5,0.6
경기도,성남시,8호선,단대오거리,26.2,19,469,9.2,0.4
경기도,성남시,8호선,신흥,38.2,19.2,511,20.2,0.8
경기도,성남시,8호선,수진,27.8,16.8,403,11.5,0.6
경기도,성남시,8호선,모란,24.2,12,398,11.1,0.5
서울특별시,강남구,9호선,언주,48,26.3,486,6.8,2.5
서울특별시,강남구,9호선,선정릉,45.6,26.8,474,6.2,2.2
서울특별시,강남구,9호선,삼성중앙,57.1,23.9,514,4.8,2.1
서울특별시,강남구,9호선,봉은사,56.1,24.3,505,7.4,2.8
서울특별시,송파구,9호선,종합운동장,43.2,28.7,458,5.7,2.1
서울특별시,송파구,9호선,삼전,56.6,30.8,482,5.2,2.2
서울특별시,송파구,9호선,석촌고분,52.1,25.8,450,10.2,1.3
서울특별시,송파구,9호선,석촌,51.7,33,467,5.4,0.6
서울특별시,송파구,9호선,송파나루,44.3,25.9,449,4.4,0.8
서울특별시,송파구,9호선,한성백제,40.1,35.5,428,7.4,1.2
서울특별시,송파구,9호선,올림픽공원,49.1,27.8,465,6.1,0.5
서울특별시,강동구,9호선,둔촌오륜,36.7,25.8,419,5.7,0.5
서울특별시,강동구,9호선,중앙보훈병원,39.2,23.2,510,5.8,0.7
