"시도명",시군구명,측정연도,지하철호선명,지하철역사명,측정위치,미세먼지,초미세먼지,이산화탄소,폼알데하이드,일산화탄소,이산화질소,라돈,휘발성유기화합물,관리기관명,데이터기준일자
"서울특별시",마포구,2022,6호선,마포구청,승강장 및 대합실,42.7,25.2,533,3.4,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,6호선,망원,승강장 및 대합실,39.9,24.4,531,7.1,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,6호선,합정(6),승강장 및 대합실,42.1,21.2,579,6.7,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,6호선,상수,승강장 및 대합실,42,20.8,499,5.7,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,6호선,광흥창,승강장 및 대합실,33.5,20,464,7,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,6호선,대흥,승강장 및 대합실,34,21.2,491,7.8,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",마포구,2022,6호선,공덕(6),승강장 및 대합실,28.5,13.3,503,5.9,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,6호선,효창공원앞(6),승강장 및 대합실,37.2,18.4,515,11.4,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,6호선,삼각지(6),승강장 및 대합실,45.2,23.1,583,7.8,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,6호선,녹사평,승강장 및 대합실,32.6,17.6,477,9.6,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,6호선,이태원,승강장 및 대합실,31.3,18.7,541,7.5,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",용산구,2022,6호선,한강진,승강장 및 대합실,39,21.5,493,9.3,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,6호선,버티고개,승강장 및 대합실,45.4,18.2,505,7.3,0.6,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,6호선,약수(6),승강장 및 대합실,37.1,21,581,5.9,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,6호선,청구(6),승강장 및 대합실,39.8,25.1,488,10.9,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",중구,2022,6호선,신당(6),승강장 및 대합실,27.4,18.5,557,10.7,0.8,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,6호선,동묘앞(6),승강장 및 대합실,40.6,24.5,592,12.7,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",종로구,2022,6호선,창신,승강장 및 대합실,34.1,24.3,485,8.6,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,6호선,보문,승강장 및 대합실,44.3,25.3,510,10.5,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,6호선,안암,승강장 및 대합실,40.3,19.7,553,9.8,0.9,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,6호선,고려대,승강장 및 대합실,30,18.4,492,19.6,0.7,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,6호선,월곡,승강장 및 대합실,39.6,19,485,5.8,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,6호선,상월곡,승강장 및 대합실,25.9,13.7,463,4.6,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",성북구,2022,6호선,돌곶이,승강장 및 대합실,29.7,14.2,486,4,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",노원구,2022,6호선,석계,승강장 및 대합실,30.4,15.9,545,4.8,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",노원구,2022,6호선,태릉입구(6),승강장 및 대합실,28.6,16.5,479,6.2,0.3,0,0,0,서울교통공사,2023-07-11
"서울특별시",노원구,2022,6호선,화랑대,승강장 및 대합실,28.7,14.2,496,7.4,0.5,0,0,0,서울교통공사,2023-07-11
"서울특별시",중랑구,2022,6호선,봉화산,승강장 및 대합실,33.6,16,470,7,0.4,0,0,0,서울교통공사,2023-07-11
"서울특별시",노원구,2022,7호선,수락산,승강장 및 대합실,37,19.5,502,10,0.4,0,0,0,서울교통공사,2023-07-11
